hour_key,vessel_count,waiting_vessel_count,approaching_vessel_count,departing_vessel_count,average_speed,port_throughput,import_teu,export_teu,container_arrivals,container_departures,containers_in_yard,yard_capacity,average_dwell_time_hours,truck_arrivals,truck_departures,truck_waiting_time_minutes,gate_throughput,yard_occupancy_percent,cargo_flow_ratio,operations_status,wind_speed_10m,wave_height,weather_code,hour,hour_sin,hour_cos,day_of_week,month,is_weekend,is_public_holiday,weather_pressure_index,event_active,event_id,event_type,event_severity,event_start,event_end,event_duration_hours,event_represented_hours,pola_berthed_cargo_vessels,pola_berthed_tanker_vessels
2025-01-01 10:00:00+00:00,42,14,1,1,0.4553268765133172,0,644.47,146.05,137.66,149.16,6288.63,10000,66.56,202,201,15.9,202,62.89,0.92,NORMAL,2.8,0.96,3.0,10,0.4999999999999999,-0.8660254037844387,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 11:00:00+00:00,41,14,1,0,0.8418414918414918,0,712.46,165.94,148.75,149.6,6287.78,10000,66.28,200,198,11.76,200,62.88,0.99,NORMAL,2.7,0.94,3.0,11,0.258819045102521,-0.9659258262890682,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 12:00:00+00:00,41,15,1,1,0.1862369337979094,0,722.12,171.54,157.66,166.7,6278.74,10000,66.73,219,216,9.3,219,62.79,0.95,NORMAL,3.4,0.94,3.0,12,1.2246467991473532e-16,-1.0,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 13:00:00+00:00,41,15,0,0,0.0497549019607843,0,786.7,194.39,171.68,144.61,6305.81,10000,66.32,191,189,12.64,191,63.06,1.19,NORMAL,5.2,0.92,3.0,13,-0.2588190451025208,-0.9659258262890684,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 14:00:00+00:00,41,15,0,0,0.0477411477411477,0,793.84,201.41,170.33,142.93,6333.21,10000,65.94,179,177,12.65,179,63.33,1.19,NORMAL,2.5,0.9,3.0,14,-0.4999999999999997,-0.8660254037844388,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 15:00:00+00:00,41,14,0,0,0.060948905109489,0,699.53,182.53,150.54,147.54,6336.21,10000,66.41,189,188,11.55,189,63.36,1.02,NORMAL,4.0,0.9,3.0,15,-0.7071067811865471,-0.7071067811865479,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 16:00:00+00:00,41,14,0,0,0.0551344743276283,0,702.7,186.85,141.87,145.8,6332.29,10000,65.87,180,178,10.11,180,63.32,0.97,NORMAL,5.1,0.88,3.0,16,-0.8660254037844384,-0.5000000000000004,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 17:00:00+00:00,41,15,0,0,0.059390243902439,0,611.72,165.47,120.14,145.39,6307.03,10000,66.01,173,172,8.66,173,63.07,0.83,NORMAL,5.8,0.88,3.0,17,-0.9659258262890684,-0.2588190451025206,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 18:00:00+00:00,41,15,1,0,0.2324970131421744,0,657.07,177.69,130.22,140.37,6296.88,10000,66.22,176,174,8.18,176,62.97,0.93,NORMAL,2.8,0.86,3.0,18,-1.0,-1.8369701987210292e-16,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 19:00:00+00:00,41,14,1,1,0.291183294663573,0,634.97,170.11,130.4,148.99,6278.28,10000,66.12,182,179,9.86,182,62.78,0.88,NORMAL,1.0,0.86,1.0,19,-0.9659258262890684,0.2588190451025203,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 20:00:00+00:00,41,13,1,1,0.5791962174940898,1,625.26,160.51,141.02,132.93,6286.37,10000,66.17,154,152,10.99,154,62.86,1.06,NORMAL,3.9,0.84,1.0,20,-0.8660254037844386,0.5000000000000001,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 21:00:00+00:00,42,13,2,2,0.5267688679245283,0,569.21,144.31,117.93,111.77,6292.53,10000,65.69,141,138,12.71,141,62.93,1.06,NORMAL,7.4,0.84,0.0,21,-0.7071067811865477,0.7071067811865474,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 22:00:00+00:00,40,12,2,1,0.6844079718640094,0,642.15,157.33,139.32,106.55,6325.3,10000,65.41,121,119,12.81,121,63.25,1.31,NORMAL,9.2,0.82,1.0,22,-0.5000000000000004,0.8660254037844384,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-01 23:00:00+00:00,41,12,2,4,1.4525773195876288,0,607.63,150.48,135.2,101.78,6358.72,10000,65.54,106,105,10.86,106,63.59,1.33,NORMAL,6.3,0.82,1.0,23,-0.2588190451025215,0.965925826289068,4,1,False,True,0.0,False,,,,,,,,7,1
2025-01-02 00:00:00+00:00,40,12,1,3,1.001061320754717,0,483.08,130.11,107.91,59.04,6407.59,10000,65.76,45,43,8.67,45,64.08,1.83,NORMAL,5.1,0.8,0.0,0,0.0,1.0,5,1,False,False,0.0,False,,,,,,,,7,1
2025-01-02 01:00:00+00:00,39,12,0,2,0.376456009913259,0,473.25,124.4,111.55,55.61,6463.52,10000,65.27,39,37,10.88,39,64.64,2.01,NORMAL,3.9,0.8,0.0,1,0.2588190451025207,0.9659258262890684,5,1,False,False,0.0,False,,,,,,,,7,1
2025-01-02 02:00:00+00:00,40,12,3,4,0.959750566893424,0,511.89,134.43,124.71,70.26,6517.97,10000,65.47,68,67,15.91,68,65.18,1.77,MODERATE,2.4,0.8,0.0,2,0.4999999999999999,0.8660254037844387,5,1,False,False,0.0,False,,,,,,,,7,2
2025-01-02 03:00:00+00:00,40,10,1,2,1.2459428571428572,1,546.08,139.7,137.19,86.62,6568.54,10000,65.88,72,70,13.77,72,65.69,1.58,MODERATE,0.3,0.8,0.0,3,0.7071067811865475,0.7071067811865476,5,1,False,False,0.0,False,,,,,,,,7,2
2025-01-02 04:00:00+00:00,41,11,3,2,0.8974885844748859,1,577.08,145.37,131.38,88.01,6611.91,10000,66.18,79,76,12.37,79,66.12,1.49,MODERATE,1.0,0.8,0.0,4,0.8660254037844386,0.5000000000000001,5,1,False,False,0.0,False,,,,,,,,7,2
2025-01-02 05:00:00+00:00,40,10,2,0,0.8192899408284023,0,607.17,151.26,129.2,101.87,6639.24,10000,66.36,101,101,12.67,101,66.39,1.27,MODERATE,2.5,0.8,1.0,5,0.9659258262890684,0.2588190451025207,5,1,False,False,0.0,False,,,,,,,,7,2
2025-01-02 06:00:00+00:00,41,9,5,2,0.9753005464480874,0,740.01,181.08,158.94,99.58,6698.59,10000,67.12,98,96,10.39,98,66.99,1.6,MODERATE,1.5,0.78,1.0,6,1.0,6.123233995736766e-17,5,1,False,False,0.0,False,,,,,,,,7,2
2025-01-02 07:00:00+00:00,44,8,6,2,1.7654106280193238,1,722.22,178.3,157.52,117.08,6739.03,10000,66.4,117,117,10.94,117,67.39,1.35,MODERATE,2.4,0.78,1.0,7,0.9659258262890684,-0.2588190451025206,5,1,False,False,0.0,False,,,,,,,,7,2
2025-01-02 08:00:00+00:00,46,9,7,1,1.654874213836478,1,701.81,174.08,155.66,144.32,6750.38,10000,65.98,171,170,9.47,171,67.5,1.08,NORMAL,4.0,0.76,0.0,8,0.8660254037844387,-0.4999999999999998,5,1,False,False,0.0,False,,,,,,,,7,2
2025-01-02 09:00:00+00:00,49,11,9,2,2.002809482001756,1,669.33,168.96,135.74,158.18,6727.94,10000,65.37,182,180,9.6,182,67.28,0.86,NORMAL,3.5,0.74,0.0,9,0.7071067811865476,-0.7071067811865475,5,1,False,False,0.0,False,,,,,,,,7,2
2025-01-02 10:00:00+00:00,50,11,8,3,1.8144471347861173,2,751.81,186.88,163.23,170.22,6720.95,10000,64.96,207,204,9.19,207,67.21,0.96,NORMAL,2.0,0.72,0.0,10,0.4999999999999999,-0.8660254037844387,5,1,False,False,0.0,False,,,,,,,,9,2
2025-01-02 11:00:00+00:00,50,11,6,3,1.5185819070904645,2,867.39,210.94,202.9,172.71,6751.14,10000,65.6,221,219,7.6,221,67.51,1.17,NORMAL,1.0,0.72,0.0,11,0.258819045102521,-0.9659258262890682,5,1,False,False,0.0,False,,,,,,,,11,2
2025-01-02 12:00:00+00:00,50,9,3,4,1.2278797996661102,2,888.85,209.26,207.21,177.86,6780.49,10000,65.67,220,220,8.4,220,67.8,1.17,NORMAL,0.7,0.72,0.0,12,1.2246467991473532e-16,-1.0,5,1,False,False,0.0,False,,,,,,,,13,2
2025-01-02 13:00:00+00:00,52,9,4,3,0.937797356828194,2,840.93,193.74,196.53,173.31,6803.72,10000,66.11,207,205,12.65,207,68.04,1.13,NORMAL,0.9,0.72,0.0,13,-0.2588190451025208,-0.9659258262890684,5,1,False,False,0.0,False,,,,,,,,14,2
2025-01-02 14:00:00+00:00,52,8,4,1,0.865198983911939,1,786.2,179.94,189.72,158.58,6834.85,10000,66.99,185,183,13.02,185,68.35,1.2,NORMAL,6.9,0.72,0.0,14,-0.4999999999999997,-0.8660254037844388,5,1,False,False,0.0,False,,,,,,,,14,2
2025-01-02 15:00:00+00:00,53,9,5,2,1.215614973262032,1,851.3,197.71,209.71,168.18,6876.38,10000,66.67,189,187,10.28,189,68.76,1.25,NORMAL,7.5,0.72,0.0,15,-0.7071067811865471,-0.7071067811865479,5,1,False,False,0.0,False,,,,,,,,14,2
2025-01-02 16:00:00+00:00,53,9,4,3,0.9136363636363636,0,895.42,210.63,220.56,166.15,6930.79,10000,66.69,191,190,11.11,191,69.31,1.33,MODERATE,6.1,0.72,0.0,16,-0.8660254037844384,-0.5000000000000004,5,1,False,False,0.0,False,,,,,,,,14,1
2025-01-02 17:00:00+00:00,53,10,4,5,0.7534518828451883,0,907.32,214.97,238.74,164.33,7005.21,10000,66.51,188,187,10.1,188,70.05,1.45,MODERATE,6.5,0.72,1.0,17,-0.9659258262890684,-0.2588190451025206,5,1,False,False,0.0,False,,,,,,,,14,0
2025-01-02 18:00:00+00:00,52,10,2,4,0.4206431535269709,1,816.17,193.45,218.2,161.95,7061.45,10000,66.87,182,180,9.05,182,70.61,1.35,MODERATE,5.0,0.7,1.0,18,-1.0,-1.8369701987210292e-16,5,1,False,False,0.0,False,,,,,,,,14,0
2025-01-02 19:00:00+00:00,56,9,4,2,0.8557013118062563,0,818.86,195.07,221.53,170.46,7112.52,10000,67.29,187,184,8.55,187,71.13,1.3,MODERATE,3.5,0.7,0.0,19,-0.9659258262890684,0.2588190451025203,5,1,False,False,0.0,False,,,,,,,,14,0
2025-01-02 20:00:00+00:00,58,10,5,1,1.1077735124760075,1,820.96,189.12,210.3,156.81,7166.01,10000,67.77,165,163,6.0,165,71.66,1.34,MODERATE,2.8,0.7,0.0,20,-0.8660254037844386,0.5000000000000001,5,1,False,False,0.0,False,,,,,,,,15,0
2025-01-02 21:00:00+00:00,58,11,6,1,1.3167450611476952,0,823.49,184.86,206.37,141.49,7230.89,10000,67.66,145,145,6.62,145,72.31,1.46,MODERATE,2.1,0.72,0.0,21,-0.7071067811865477,0.7071067811865474,5,1,False,False,0.0,False,,,,,,,,15,0
2025-01-02 22:00:00+00:00,57,11,7,5,1.0898710865561694,1,877.24,191.52,215.25,144.52,7301.63,10000,67.64,146,145,10.05,146,73.02,1.49,MODERATE,3.1,0.72,0.0,22,-0.5000000000000004,0.8660254037844384,5,1,False,False,0.0,False,,,,,,,,15,0
2025-01-02 23:00:00+00:00,57,12,2,5,0.7202209944751381,2,867.62,185.48,205.86,113.12,7394.37,10000,67.79,98,97,11.66,98,73.94,1.82,MODERATE,3.9,0.74,0.0,23,-0.2588190451025215,0.965925826289068,5,1,False,False,0.0,False,,,,,,,,17,0
2025-01-03 00:00:00+00:00,57,12,3,2,0.4626506024096385,2,763.43,177.13,184.75,110.91,7468.22,10000,68.24,69,66,15.39,69,74.68,1.67,MODERATE,4.2,0.74,0.0,0,0.0,1.0,6,1,False,False,0.0,False,,,,,,,,18,0
2025-01-03 01:00:00+00:00,56,12,2,2,0.8082300884955752,0,747.2,173.71,181.97,92.45,7557.74,10000,68.71,54,54,15.39,54,75.58,1.97,MODERATE,5.9,0.76,0.0,1,0.2588190451025207,0.9659258262890684,6,1,False,False,0.0,False,,,,,,,,17,0
2025-01-03 02:00:00+00:00,57,12,2,3,0.7352233676975946,0,750.15,174.62,184.79,113.72,7628.81,10000,68.66,71,69,16.69,71,76.29,1.62,MODERATE,6.0,0.76,1.0,2,0.4999999999999999,0.8660254037844387,6,1,False,False,0.0,False,,,,,,,,16,0
2025-01-03 03:00:00+00:00,56,12,2,2,0.8360992301112061,0,780.38,181.15,174.25,103.11,7699.96,10000,68.74,69,67,18.14,69,77.0,1.69,MODERATE,5.8,0.78,1.0,3,0.7071067811865475,0.7071067811865476,6,1,False,False,0.0,False,,,,,,,,16,0
2025-01-03 04:00:00+00:00,55,12,2,1,0.6093777388255915,0,667.24,155.35,146.67,119.65,7726.97,10000,69.18,80,78,18.65,80,77.27,1.23,MODERATE,2.7,0.78,3.0,4,0.8660254037844386,0.5000000000000001,6,1,False,False,0.0,False,,,,,,,,16,0
2025-01-03 05:00:00+00:00,54,14,2,2,0.3590350877192982,0,659.58,152.33,142.96,121.06,7748.87,10000,69.12,87,85,16.0,87,77.49,1.18,MODERATE,0.4,0.78,3.0,5,0.9659258262890684,0.2588190451025207,6,1,False,False,0.0,False,,,,,,,,16,0
2025-01-03 06:00:00+00:00,54,12,2,2,0.5733333333333334,0,650.5,148.5,138.35,120.08,7767.14,10000,69.31,96,94,16.5,96,77.67,1.15,MODERATE,3.7,0.78,3.0,6,1.0,6.123233995736766e-17,6,1,False,False,0.0,False,,,,,,,,16,0
2025-01-03 07:00:00+00:00,55,11,1,3,0.918103448275862,0,643.46,143.71,143.37,149.22,7761.29,10000,69.33,132,131,17.11,132,77.61,0.96,MODERATE,4.0,0.78,3.0,7,0.9659258262890684,-0.2588190451025206,6,1,False,False,0.0,False,,,,,,,,16,0
2025-01-03 08:00:00+00:00,55,11,2,2,0.729052258635961,0,659.81,146.92,142.45,169.06,7734.68,10000,69.9,167,165,17.56,167,77.35,0.84,MODERATE,4.7,0.8,3.0,8,0.8660254037844387,-0.4999999999999998,6,1,False,False,0.0,False,,,,,,,,16,0
2025-01-03 09:00:00+00:00,54,11,0,2,0.432183908045977,0,814.7,181.57,182.21,180.25,7736.64,10000,70.44,186,185,18.67,186,77.37,1.01,MODERATE,4.9,0.8,3.0,9,0.7071067811865476,-0.7071067811865475,6,1,False,False,0.0,False,,,,,,,,16,0
2025-01-03 10:00:00+00:00,58,12,5,2,0.9306603773584906,0,768.84,170.8,169.6,188.66,7717.58,10000,70.3,207,204,19.24,207,77.18,0.9,MODERATE,3.5,0.82,3.0,10,0.4999999999999999,-0.8660254037844387,6,1,False,False,0.0,False,,,,,,,,17,0
2025-01-03 11:00:00+00:00,58,12,5,4,1.5651631477927064,0,880.6,196.07,191.71,218.11,7691.18,10000,70.08,240,239,19.97,240,76.91,0.88,MODERATE,3.0,0.82,3.0,11,0.258819045102521,-0.9659258262890682,6,1,False,False,0.0,False,,,,,,,,16,0
2025-01-03 12:00:00+00:00,61,13,5,5,0.9498579545454546,0,755.34,167.8,160.54,191.4,7660.32,10000,69.69,212,210,20.92,212,76.6,0.84,MODERATE,2.8,0.84,3.0,12,1.2246467991473532e-16,-1.0,6,1,False,False,0.0,False,,,,,,,,15,0
2025-01-03 13:00:00+00:00,60,14,5,3,1.4617142857142855,0,750.89,169.42,159.31,180.79,7638.85,10000,69.17,203,203,18.59,203,76.39,0.88,MODERATE,2.2,0.84,3.0,13,-0.2588190451025208,-0.9659258262890684,6,1,False,False,0.0,False,,,,,,,,14,0
2025-01-03 14:00:00+00:00,60,14,3,4,1.4084634346754312,0,791.89,179.88,162.38,190.56,7610.66,10000,68.76,191,190,20.95,191,76.11,0.85,MODERATE,1.9,0.84,3.0,14,-0.4999999999999997,-0.8660254037844388,6,1,False,False,0.0,False,,,,,,,,14,0
2025-01-03 15:00:00+00:00,59,15,5,3,1.117434869739479,0,853.63,195.78,174.99,176.56,7609.1,10000,68.42,183,182,18.11,183,76.09,0.99,MODERATE,2.0,0.86,3.0,15,-0.7071067811865471,-0.7071067811865479,6,1,False,False,0.0,False,,,,,,,,14,0
2025-01-03 16:00:00+00:00,59,15,5,4,1.4451417004048583,1,920.74,209.5,178.64,180.92,7606.82,10000,68.84,181,180,16.29,181,76.07,0.99,MODERATE,0.4,0.86,3.0,16,-0.8660254037844384,-0.5000000000000004,6,1,False,False,0.0,False,,,,,,,,14,0
2025-01-03 17:00:00+00:00,59,15,4,5,0.8125248508946322,3,967.35,219.93,205.24,173.8,7638.25,10000,68.76,177,175,15.43,177,76.38,1.18,MODERATE,3.1,0.88,3.0,17,-0.9659258262890684,-0.2588190451025206,6,1,False,False,0.0,False,,,,,,,,17,0
2025-01-03 18:00:00+00:00,59,16,5,4,0.6657777777777778,0,879.69,203.92,189.65,173.49,7654.4,10000,68.51,182,180,14.15,182,76.54,1.09,MODERATE,4.9,0.92,3.0,18,-1.0,-1.8369701987210292e-16,6,1,False,False,0.0,False,,,,,,,,17,0
2025-01-03 19:00:00+00:00,61,13,4,4,0.8880387931034484,1,831.75,187.17,181.65,173.37,7662.69,10000,68.71,190,189,17.51,190,76.63,1.05,MODERATE,6.2,0.94,3.0,19,-0.9659258262890684,0.2588190451025203,6,1,False,False,0.0,False,,,,,,,,18,0
2025-01-03 20:00:00+00:00,60,12,5,5,1.420268872802482,1,901.66,196.15,203.46,175.42,7690.73,10000,69.0,182,180,17.99,182,76.91,1.16,MODERATE,3.6,0.94,3.0,20,-0.8660254037844386,0.5000000000000001,6,1,False,False,0.0,False,,,,,,,,17,0
2025-01-03 21:00:00+00:00,59,11,3,5,1.0985446985446985,0,847.5,183.32,196.11,161.87,7724.96,10000,69.54,155,154,17.55,155,77.25,1.21,MODERATE,4.1,0.92,2.0,21,-0.7071067811865477,0.7071067811865474,6,1,False,False,0.0,False,,,,,,,,17,0
2025-01-03 22:00:00+00:00,57,11,1,2,0.4166299559471366,0,725.87,154.29,178.24,140.2,7763.01,10000,69.19,125,125,17.4,125,77.63,1.27,MODERATE,11.3,0.92,3.0,22,-0.5000000000000004,0.8660254037844384,6,1,False,False,0.0819672131147541,False,,,,,,,,17,0
2025-01-03 23:00:00+00:00,56,11,1,0,0.0376123234916559,1,628.36,133.73,161.93,124.4,7800.54,10000,69.82,92,90,17.03,92,78.01,1.3,MODERATE,6.5,0.9,2.0,23,-0.2588190451025215,0.965925826289068,6,1,False,False,0.0,False,,,,,,,,17,0
2025-01-04 00:00:00+00:00,58,12,3,1,0.6177525967894241,0,427.32,100.95,131.38,85.82,7846.1,10000,70.01,36,34,17.38,36,78.46,1.53,MODERATE,5.6,0.9,0.0,0,0.0,1.0,7,1,True,False,0.0,False,,,,,,,,16,0
2025-01-04 01:00:00+00:00,58,12,2,2,0.8322549952426261,0,477.05,113.55,137.47,101.39,7882.18,10000,70.07,44,42,17.65,44,78.82,1.36,MODERATE,7.1,0.88,0.0,1,0.2588190451025207,0.9659258262890684,7,1,True,False,0.0,False,,,,,,,,16,0
2025-01-04 02:00:00+00:00,58,12,2,4,0.9518610421836228,0,498.81,119.47,130.76,105.0,7907.93,10000,69.53,52,50,19.01,52,79.08,1.25,MODERATE,4.5,0.9,0.0,2,0.4999999999999999,0.8660254037844387,7,1,True,False,0.0,False,,,,,,,,17,0
2025-01-04 03:00:00+00:00,58,12,2,1,0.8281302170283806,1,559.16,132.14,144.1,107.29,7944.74,10000,69.45,57,56,22.77,57,79.45,1.34,MODERATE,9.8,0.94,0.0,3,0.7071067811865475,0.7071067811865476,7,1,True,False,0.0,False,,,,,,,,16,0
2025-01-04 04:00:00+00:00,58,12,2,2,0.5799283154121864,0,538.04,128.14,129.39,103.83,7970.29,10000,69.95,50,49,21.92,50,79.7,1.25,MODERATE,6.4,0.96,0.0,4,0.8660254037844386,0.5000000000000001,7,1,True,False,0.0,False,,,,,,,,16,0
2025-01-04 05:00:00+00:00,57,12,2,2,0.5473083197389886,0,572.8,133.62,140.85,117.92,7993.22,10000,69.82,73,71,23.54,73,79.93,1.19,MODERATE,1.0,0.96,1.0,5,0.9659258262890684,0.2588190451025207,7,1,True,False,0.0,False,,,,,,,,16,0
2025-01-04 06:00:00+00:00,57,13,0,1,0.1038507821901323,1,641.44,145.82,155.48,128.0,8020.69,10000,69.65,87,85,21.78,87,80.21,1.21,MODERATE,3.0,0.98,1.0,6,1.0,6.123233995736766e-17,7,1,True,False,0.0,False,,,,,,,,17,0
2025-01-04 07:00:00+00:00,58,13,1,0,0.1791450777202072,0,635.3,144.03,152.23,140.45,8032.47,10000,69.94,112,111,21.87,112,80.32,1.08,MODERATE,2.6,0.98,1.0,7,0.9659258262890684,-0.2588190451025206,7,1,True,False,0.0,False,,,,,,,,17,0
2025-01-04 08:00:00+00:00,58,13,1,0,0.2510440835266821,0,689.16,155.09,167.13,151.9,8047.71,10000,70.59,111,110,20.92,111,80.48,1.1,MODERATE,2.9,0.98,1.0,8,0.8660254037844387,-0.4999999999999998,7,1,True,False,0.0,False,,,,,,,,17,0
2025-01-04 09:00:00+00:00,59,13,3,1,0.7143382352941177,0,670.71,148.84,165.26,149.74,8063.24,10000,70.67,128,128,19.29,128,80.63,1.1,MODERATE,3.1,0.98,3.0,9,0.7071067811865476,-0.7071067811865475,7,1,True,False,0.0,False,,,,,,,,17,0
2025-01-04 10:00:00+00:00,61,12,4,2,0.8868312757201646,0,667.55,149.07,167.63,158.71,8072.15,10000,70.78,140,139,17.66,140,80.72,1.06,MODERATE,4.4,0.98,3.0,10,0.4999999999999999,-0.8660254037844387,7,1,True,False,0.0,False,,,,,,,,18,0
2025-01-04 11:00:00+00:00,63,13,7,3,1.4097804391217563,0,664.5,149.6,166.37,171.59,8066.94,10000,70.49,160,158,18.48,160,80.67,0.97,MODERATE,6.8,1.0,3.0,11,0.258819045102521,-0.9659258262890682,7,1,True,False,0.0,False,,,,,,,,17,0
2025-01-04 12:00:00+00:00,64,13,8,7,1.7767686424474187,1,608.31,136.53,153.59,166.15,8054.38,10000,70.53,154,154,18.59,154,80.54,0.92,MODERATE,6.7,1.04,3.0,12,1.2246467991473532e-16,-1.0,7,1,True,False,0.0357142857142857,False,,,,,,,,18,0
2025-01-04 13:00:00+00:00,63,13,8,7,2.150230414746544,0,673.86,154.07,164.01,164.27,8054.12,10000,70.39,150,148,20.35,150,80.54,1.0,MODERATE,5.2,1.06,3.0,13,-0.2588190451025208,-0.9659258262890684,7,1,True,False,0.0714285714285714,False,,,,,,,,17,0
2025-01-04 14:00:00+00:00,62,12,6,8,2.025024727992087,3,675.66,151.54,182.37,162.76,8073.72,10000,70.91,139,137,19.06,139,80.74,1.12,MODERATE,3.3,1.08,3.0,14,-0.4999999999999997,-0.8660254037844388,7,1,True,False,0.1071428571428572,False,,,,,,,,18,0
2025-01-04 15:00:00+00:00,61,12,6,7,1.1606991525423729,1,693.61,156.83,191.37,164.77,8100.33,10000,71.26,145,145,19.51,145,81.0,1.16,MODERATE,2.8,1.1,3.0,15,-0.7071067811865471,-0.7071067811865479,7,1,True,False,0.1428571428571429,False,,,,,,,,18,0
2025-01-04 16:00:00+00:00,60,13,2,4,0.6906437768240343,1,742.43,167.94,196.77,164.3,8132.79,10000,71.49,137,135,18.87,137,81.33,1.2,MODERATE,0.9,1.12,3.0,16,-0.8660254037844384,-0.5000000000000004,7,1,True,False,0.1785714285714287,False,,,,,,,,19,0
2025-01-04 17:00:00+00:00,59,13,1,2,0.6620605069501226,0,760.93,174.51,198.77,165.67,8165.9,10000,71.66,148,146,19.83,148,81.66,1.2,MODERATE,8.6,1.14,3.0,17,-0.9659258262890684,-0.2588190451025206,7,1,True,False,0.214285714285714,False,,,,,,,,19,0
2025-01-04 18:00:00+00:00,59,13,1,1,0.488628762541806,0,789.75,181.46,200.93,174.97,8191.86,10000,71.72,165,162,24.67,163,81.92,1.15,MODERATE,9.5,1.16,1.0,18,-1.0,-1.8369701987210292e-16,7,1,True,False,0.2499999999999998,False,,,,,,,,19,0
2025-01-04 19:00:00+00:00,58,13,1,1,0.1797274275979557,0,762.3,172.39,189.14,166.87,8214.13,10000,71.55,135,135,22.4,137,82.14,1.13,MODERATE,7.6,1.18,3.0,19,-0.9659258262890684,0.2588190451025203,7,1,True,False,0.2857142857142855,False,,,,,,,,20,0
