timestamp,import_teu,export_teu,container_arrivals,container_departures,containers_in_yard,yard_capacity,average_dwell_time_hours,truck_arrivals,truck_departures,truck_waiting_time_minutes,gate_throughput,yard_occupancy_percent,cargo_flow_ratio,operations_status
2025-01-01 13:00:00+00:00,786.7,194.39,171.68,144.61,6305.81,10000,66.32,191,189,12.64,191,63.06,1.19,NORMAL
2025-01-01 14:00:00+00:00,793.84,201.41,170.33,142.93,6333.21,10000,65.94,179,177,12.65,179,63.33,1.19,NORMAL
2025-01-01 15:00:00+00:00,699.53,182.53,150.54,147.54,6336.21,10000,66.41,189,188,11.55,189,63.36,1.02,NORMAL
2025-01-01 16:00:00+00:00,702.7,186.85,141.87,145.8,6332.29,10000,65.87,180,178,10.11,180,63.32,0.97,NORMAL
2025-01-01 17:00:00+00:00,611.72,165.47,120.14,145.39,6307.03,10000,66.01,173,172,8.66,173,63.07,0.83,NORMAL
2025-01-01 18:00:00+00:00,657.07,177.69,130.22,140.37,6296.88,10000,66.22,176,174,8.18,176,62.97,0.93,NORMAL
2025-01-01 19:00:00+00:00,634.97,170.11,130.4,148.99,6278.28,10000,66.12,182,179,9.86,182,62.78,0.88,NORMAL
2025-01-01 20:00:00+00:00,625.26,160.51,141.02,132.93,6286.37,10000,66.17,154,152,10.99,154,62.86,1.06,NORMAL
2025-01-01 21:00:00+00:00,569.21,144.31,117.93,111.77,6292.53,10000,65.69,141,138,12.71,141,62.93,1.06,NORMAL
2025-01-01 22:00:00+00:00,642.15,157.33,139.32,106.55,6325.3,10000,65.41,121,119,12.81,121,63.25,1.31,NORMAL
2025-01-01 23:00:00+00:00,607.63,150.48,135.2,101.78,6358.72,10000,65.54,106,105,10.86,106,63.59,1.33,NORMAL
2025-01-02 00:00:00+00:00,483.08,130.11,107.91,59.04,6407.59,10000,65.76,45,43,8.67,45,64.08,1.83,NORMAL
2025-01-02 01:00:00+00:00,473.25,124.4,111.55,55.61,6463.52,10000,65.27,39,37,10.88,39,64.64,2.01,NORMAL
2025-01-02 02:00:00+00:00,511.89,134.43,124.71,70.26,6517.97,10000,65.47,68,67,15.91,68,65.18,1.77,MODERATE
2025-01-02 03:00:00+00:00,546.08,139.7,137.19,86.62,6568.54,10000,65.88,72,70,13.77,72,65.69,1.58,MODERATE
2025-01-02 04:00:00+00:00,577.08,145.37,131.38,88.01,6611.91,10000,66.18,79,76,12.37,79,66.12,1.49,MODERATE
2025-01-02 05:00:00+00:00,607.17,151.26,129.2,101.87,6639.24,10000,66.36,101,101,12.67,101,66.39,1.27,MODERATE
2025-01-02 06:00:00+00:00,740.01,181.08,158.94,99.58,6698.59,10000,67.12,98,96,10.39,98,66.99,1.6,MODERATE
2025-01-02 07:00:00+00:00,722.22,178.3,157.52,117.08,6739.03,10000,66.4,117,117,10.94,117,67.39,1.35,MODERATE
2025-01-02 08:00:00+00:00,701.81,174.08,155.66,144.32,6750.38,10000,65.98,171,170,9.47,171,67.5,1.08,NORMAL
2025-01-02 09:00:00+00:00,669.33,168.96,135.74,158.18,6727.94,10000,65.37,182,180,9.6,182,67.28,0.86,NORMAL
2025-01-02 10:00:00+00:00,751.81,186.88,163.23,170.22,6720.95,10000,64.96,207,204,9.19,207,67.21,0.96,NORMAL
2025-01-02 11:00:00+00:00,867.39,210.94,202.9,172.71,6751.14,10000,65.6,221,219,7.6,221,67.51,1.17,NORMAL
2025-01-02 12:00:00+00:00,888.85,209.26,207.21,177.86,6780.49,10000,65.67,220,220,8.4,220,67.8,1.17,NORMAL
2025-01-02 13:00:00+00:00,840.93,193.74,196.53,173.31,6803.72,10000,66.11,207,205,12.65,207,68.04,1.13,NORMAL
2025-01-02 14:00:00+00:00,786.2,179.94,189.72,158.58,6834.85,10000,66.99,185,183,13.02,185,68.35,1.2,NORMAL
2025-01-02 15:00:00+00:00,851.3,197.71,209.71,168.18,6876.38,10000,66.67,189,187,10.28,189,68.76,1.25,NORMAL
2025-01-02 16:00:00+00:00,895.42,210.63,220.56,166.15,6930.79,10000,66.69,191,190,11.11,191,69.31,1.33,MODERATE
2025-01-02 17:00:00+00:00,907.32,214.97,238.74,164.33,7005.21,10000,66.51,188,187,10.1,188,70.05,1.45,MODERATE
2025-01-02 18:00:00+00:00,816.17,193.45,218.2,161.95,7061.45,10000,66.87,182,180,9.05,182,70.61,1.35,MODERATE
2025-01-02 19:00:00+00:00,818.86,195.07,221.53,170.46,7112.52,10000,67.29,187,184,8.55,187,71.13,1.3,MODERATE
2025-01-02 20:00:00+00:00,820.96,189.12,210.3,156.81,7166.01,10000,67.77,165,163,6.0,165,71.66,1.34,MODERATE
2025-01-02 21:00:00+00:00,823.49,184.86,206.37,141.49,7230.89,10000,67.66,145,145,6.62,145,72.31,1.46,MODERATE
2025-01-02 22:00:00+00:00,877.24,191.52,215.25,144.52,7301.63,10000,67.64,146,145,10.05,146,73.02,1.49,MODERATE
2025-01-02 23:00:00+00:00,867.62,185.48,205.86,113.12,7394.37,10000,67.79,98,97,11.66,98,73.94,1.82,MODERATE
2025-01-03 00:00:00+00:00,763.43,177.13,184.75,110.91,7468.22,10000,68.24,69,66,15.39,69,74.68,1.67,MODERATE
2025-01-03 01:00:00+00:00,747.2,173.71,181.97,92.45,7557.74,10000,68.71,54,54,15.39,54,75.58,1.97,MODERATE
2025-01-03 02:00:00+00:00,750.15,174.62,184.79,113.72,7628.81,10000,68.66,71,69,16.69,71,76.29,1.62,MODERATE
2025-01-03 03:00:00+00:00,780.38,181.15,174.25,103.11,7699.96,10000,68.74,69,67,18.14,69,77.0,1.69,MODERATE
2025-01-03 04:00:00+00:00,667.24,155.35,146.67,119.65,7726.97,10000,69.18,80,78,18.65,80,77.27,1.23,MODERATE
2025-01-03 05:00:00+00:00,659.58,152.33,142.96,121.06,7748.87,10000,69.12,87,85,16.0,87,77.49,1.18,MODERATE
2025-01-03 06:00:00+00:00,650.5,148.5,138.35,120.08,7767.14,10000,69.31,96,94,16.5,96,77.67,1.15,MODERATE
2025-01-03 07:00:00+00:00,643.46,143.71,143.37,149.22,7761.29,10000,69.33,132,131,17.11,132,77.61,0.96,MODERATE
2025-01-03 08:00:00+00:00,659.81,146.92,142.45,169.06,7734.68,10000,69.9,167,165,17.56,167,77.35,0.84,MODERATE
2025-01-03 09:00:00+00:00,814.7,181.57,182.21,180.25,7736.64,10000,70.44,186,185,18.67,186,77.37,1.01,MODERATE
2025-01-03 10:00:00+00:00,768.84,170.8,169.6,188.66,7717.58,10000,70.3,207,204,19.24,207,77.18,0.9,MODERATE
2025-01-03 11:00:00+00:00,880.6,196.07,191.71,218.11,7691.18,10000,70.08,240,239,19.97,240,76.91,0.88,MODERATE
2025-01-03 12:00:00+00:00,755.34,167.8,160.54,191.4,7660.32,10000,69.69,212,210,20.92,212,76.6,0.84,MODERATE
2025-01-03 13:00:00+00:00,750.89,169.42,159.31,180.79,7638.85,10000,69.17,203,203,18.59,203,76.39,0.88,MODERATE
2025-01-03 14:00:00+00:00,791.89,179.88,162.38,190.56,7610.66,10000,68.76,191,190,20.95,191,76.11,0.85,MODERATE
2025-01-03 15:00:00+00:00,853.63,195.78,174.99,176.56,7609.1,10000,68.42,183,182,18.11,183,76.09,0.99,MODERATE
2025-01-03 16:00:00+00:00,920.74,209.5,178.64,180.92,7606.82,10000,68.84,181,180,16.29,181,76.07,0.99,MODERATE
2025-01-03 17:00:00+00:00,967.35,219.93,205.24,173.8,7638.25,10000,68.76,177,175,15.43,177,76.38,1.18,MODERATE
2025-01-03 18:00:00+00:00,879.69,203.92,189.65,173.49,7654.4,10000,68.51,182,180,14.15,182,76.54,1.09,MODERATE
2025-01-03 19:00:00+00:00,831.75,187.17,181.65,173.37,7662.69,10000,68.71,190,189,17.51,190,76.63,1.05,MODERATE
2025-01-03 20:00:00+00:00,901.66,196.15,203.46,175.42,7690.73,10000,69.0,182,180,17.99,182,76.91,1.16,MODERATE
2025-01-03 21:00:00+00:00,847.5,183.32,196.11,161.87,7724.96,10000,69.54,155,154,17.55,155,77.25,1.21,MODERATE
2025-01-03 22:00:00+00:00,725.87,154.29,178.24,140.2,7763.01,10000,69.19,125,125,17.4,125,77.63,1.27,MODERATE
2025-01-03 23:00:00+00:00,628.36,133.73,161.93,124.4,7800.54,10000,69.82,92,90,17.03,92,78.01,1.3,MODERATE
2025-01-04 00:00:00+00:00,427.32,100.95,131.38,85.82,7846.1,10000,70.01,36,34,17.38,36,78.46,1.53,MODERATE
2025-01-04 01:00:00+00:00,477.05,113.55,137.47,101.39,7882.18,10000,70.07,44,42,17.65,44,78.82,1.36,MODERATE
2025-01-04 02:00:00+00:00,498.81,119.47,130.76,105.0,7907.93,10000,69.53,52,50,19.01,52,79.08,1.25,MODERATE
2025-01-04 03:00:00+00:00,559.16,132.14,144.1,107.29,7944.74,10000,69.45,57,56,22.77,57,79.45,1.34,MODERATE
2025-01-04 04:00:00+00:00,538.04,128.14,129.39,103.83,7970.29,10000,69.95,50,49,21.92,50,79.7,1.25,MODERATE
2025-01-04 05:00:00+00:00,572.8,133.62,140.85,117.92,7993.22,10000,69.82,73,71,23.54,73,79.93,1.19,MODERATE
2025-01-04 06:00:00+00:00,641.44,145.82,155.48,128.0,8020.69,10000,69.65,87,85,21.78,87,80.21,1.21,MODERATE
2025-01-04 07:00:00+00:00,635.3,144.03,152.23,140.45,8032.47,10000,69.94,112,111,21.87,112,80.32,1.08,MODERATE
2025-01-04 08:00:00+00:00,689.16,155.09,167.13,151.9,8047.71,10000,70.59,111,110,20.92,111,80.48,1.1,MODERATE
2025-01-04 09:00:00+00:00,670.71,148.84,165.26,149.74,8063.24,10000,70.67,128,128,19.29,128,80.63,1.1,MODERATE
2025-01-04 10:00:00+00:00,667.55,149.07,167.63,158.71,8072.15,10000,70.78,140,139,17.66,140,80.72,1.06,MODERATE
2025-01-04 11:00:00+00:00,664.5,149.6,166.37,171.59,8066.94,10000,70.49,160,158,18.48,160,80.67,0.97,MODERATE
2025-01-04 12:00:00+00:00,608.31,136.53,153.59,166.15,8054.38,10000,70.53,154,154,18.59,154,80.54,0.92,MODERATE
2025-01-04 13:00:00+00:00,673.86,154.07,164.01,164.27,8054.12,10000,70.39,150,148,20.35,150,80.54,1.0,MODERATE
2025-01-04 14:00:00+00:00,675.66,151.54,182.37,162.76,8073.72,10000,70.91,139,137,19.06,139,80.74,1.12,MODERATE
2025-01-04 15:00:00+00:00,693.61,156.83,191.37,164.77,8100.33,10000,71.26,145,145,19.51,145,81.0,1.16,MODERATE
2025-01-04 16:00:00+00:00,742.43,167.94,196.77,164.3,8132.79,10000,71.49,137,135,18.87,137,81.33,1.2,MODERATE
2025-01-04 17:00:00+00:00,760.93,174.51,198.77,165.67,8165.9,10000,71.66,148,146,19.83,148,81.66,1.2,MODERATE
2025-01-04 18:00:00+00:00,789.75,181.46,200.93,174.97,8191.86,10000,71.72,165,162,24.67,163,81.92,1.15,MODERATE
2025-01-04 19:00:00+00:00,762.3,172.39,189.14,166.87,8214.13,10000,71.55,135,135,22.4,137,82.14,1.13,MODERATE
2025-01-04 20:00:00+00:00,710.41,158.59,170.26,157.95,8226.44,10000,71.01,118,115,19.1,118,82.26,1.08,MODERATE
2025-01-04 21:00:00+00:00,690.64,152.06,167.74,145.39,8248.79,10000,71.01,114,114,23.41,114,82.49,1.15,MODERATE
2025-01-04 22:00:00+00:00,556.07,122.35,142.46,140.57,8250.68,10000,71.28,103,100,23.67,103,82.51,1.01,MODERATE
2025-01-04 23:00:00+00:00,463.51,102.52,132.59,119.28,8263.99,10000,71.01,76,74,20.97,76,82.64,1.11,MODERATE
2025-01-05 00:00:00+00:00,324.56,80.57,98.93,97.64,8265.28,10000,70.89,38,37,21.08,38,82.65,1.01,MODERATE
2025-01-05 01:00:00+00:00,325.31,80.79,98.66,97.31,8266.64,10000,71.37,46,37,26.8,40,82.67,1.01,MODERATE
2025-01-05 02:00:00+00:00,360.27,88.67,106.18,102.36,8270.46,10000,71.53,42,44,27.43,45,82.7,1.04,MODERATE
2025-01-05 03:00:00+00:00,342.25,84.46,110.84,109.23,8272.07,10000,71.75,61,54,34.23,54,82.72,1.01,MODERATE
2025-01-05 04:00:00+00:00,361.66,88.04,120.75,121.07,8271.74,10000,71.26,59,59,36.65,59,82.72,1.0,MODERATE
2025-01-05 05:00:00+00:00,473.1,111.99,139.71,121.88,8289.58,10000,70.96,55,64,31.06,65,82.9,1.15,MODERATE
2025-01-05 06:00:00+00:00,484.66,112.41,145.48,122.22,8312.84,10000,71.97,72,69,27.84,72,83.13,1.19,MODERATE
2025-01-05 07:00:00+00:00,566.37,128.28,158.45,133.05,8338.24,10000,72.2,88,86,27.35,88,83.38,1.19,MODERATE
2025-01-05 08:00:00+00:00,537.46,120.2,145.09,148.05,8335.28,10000,71.51,111,110,29.42,111,83.35,0.98,MODERATE
2025-01-05 09:00:00+00:00,563.06,124.44,140.54,162.48,8313.34,10000,71.15,128,127,31.96,128,83.13,0.86,MODERATE
2025-01-05 10:00:00+00:00,527.26,119.32,127.83,157.57,8283.61,10000,71.05,122,121,28.44,122,82.84,0.81,MODERATE
2025-01-05 11:00:00+00:00,546.17,123.52,132.22,173.82,8242.0,10000,70.95,146,145,26.67,146,82.42,0.76,MODERATE
2025-01-05 12:00:00+00:00,648.41,145.97,140.62,163.97,8218.64,10000,70.75,142,140,26.66,142,82.19,0.86,MODERATE
2025-01-05 13:00:00+00:00,543.89,123.66,124.33,159.09,8183.89,10000,70.57,135,132,27.78,135,81.84,0.78,MODERATE
2025-01-05 14:00:00+00:00,592.05,139.53,127.77,145.81,8165.85,10000,70.52,125,124,26.27,125,81.66,0.88,MODERATE
2025-01-05 15:00:00+00:00,618.58,148.56,135.23,150.44,8150.64,10000,70.31,124,123,25.0,124,81.51,0.9,MODERATE
2025-01-05 16:00:00+00:00,585.22,140.97,128.66,139.06,8140.25,10000,70.05,112,110,24.52,112,81.4,0.93,MODERATE
2025-01-05 17:00:00+00:00,491.17,119.62,114.55,150.36,8104.44,10000,70.28,126,125,22.54,126,81.04,0.76,MODERATE
2025-01-05 18:00:00+00:00,518.44,125.39,121.31,144.45,8081.3,10000,70.73,115,114,23.79,115,80.81,0.84,MODERATE
2025-01-05 19:00:00+00:00,498.89,119.32,112.01,146.75,8046.56,10000,70.62,115,114,22.68,115,80.47,0.76,MODERATE
2025-01-05 20:00:00+00:00,548.83,124.8,116.65,142.96,8020.25,10000,70.81,109,107,23.83,109,80.2,0.82,MODERATE
2025-01-05 21:00:00+00:00,551.85,125.01,116.7,143.83,7993.12,10000,70.24,111,110,23.89,111,79.93,0.81,MODERATE
2025-01-05 22:00:00+00:00,667.05,146.39,145.07,136.16,8002.03,10000,70.03,98,97,25.26,98,80.02,1.07,MODERATE
2025-01-05 23:00:00+00:00,642.65,134.66,146.92,127.13,8021.82,10000,69.95,76,74,25.63,76,80.22,1.16,MODERATE
2025-01-06 00:00:00+00:00,583.3,134.28,128.47,111.2,8039.09,10000,70.36,58,57,25.48,58,80.39,1.16,MODERATE
2025-01-06 01:00:00+00:00,587.91,139.52,134.79,112.04,8061.84,10000,70.68,68,65,24.89,68,80.62,1.2,MODERATE
2025-01-06 02:00:00+00:00,609.72,143.18,148.22,121.96,8088.09,10000,70.27,73,71,25.5,73,80.88,1.22,MODERATE
2025-01-06 03:00:00+00:00,701.6,164.72,163.92,122.22,8129.8,10000,70.76,72,71,25.64,72,81.3,1.34,MODERATE
2025-01-06 04:00:00+00:00,752.19,175.65,175.4,141.55,8163.65,10000,70.92,90,88,26.02,90,81.64,1.24,MODERATE
2025-01-06 05:00:00+00:00,761.47,178.69,178.81,133.71,8208.75,10000,71.25,94,94,24.7,94,82.09,1.34,MODERATE
2025-01-06 06:00:00+00:00,869.07,199.61,199.53,146.62,8261.66,10000,70.94,112,110,24.53,112,82.62,1.36,MODERATE
2025-01-06 07:00:00+00:00,775.41,177.39,172.67,172.37,8261.96,10000,71.2,144,141,25.64,144,82.62,1.0,MODERATE
2025-01-06 08:00:00+00:00,756.98,166.74,159.38,184.66,8236.69,10000,71.17,163,163,23.65,163,82.37,0.86,MODERATE
2025-01-06 09:00:00+00:00,713.84,155.75,151.68,189.73,8198.65,10000,71.49,188,185,23.86,188,81.99,0.8,MODERATE
2025-01-06 10:00:00+00:00,717.88,158.1,160.19,211.79,8147.05,10000,71.88,202,200,24.16,202,81.47,0.76,MODERATE
2025-01-06 11:00:00+00:00,643.3,144.72,148.57,209.53,8086.09,10000,71.77,223,222,26.67,223,80.86,0.71,MODERATE
2025-01-06 12:00:00+00:00,742.73,168.18,175.76,195.24,8066.61,10000,71.57,211,210,26.58,211,80.67,0.9,MODERATE
2025-01-06 13:00:00+00:00,745.69,171.61,179.14,203.16,8042.59,10000,71.63,215,215,28.44,215,80.43,0.88,MODERATE
2025-01-06 14:00:00+00:00,649.21,149.26,165.46,195.08,8012.97,10000,71.75,191,188,24.3,191,80.13,0.85,MODERATE
2025-01-06 15:00:00+00:00,599.83,138.47,158.47,181.12,7990.32,10000,71.53,184,183,22.17,184,79.9,0.87,MODERATE
2025-01-06 16:00:00+00:00,660.29,151.08,174.22,180.08,7984.46,10000,70.82,171,169,21.35,171,79.84,0.97,MODERATE
2025-01-06 17:00:00+00:00,753.28,171.94,194.93,178.55,8000.85,10000,71.1,186,185,18.57,186,80.01,1.09,MODERATE
2025-01-06 18:00:00+00:00,911.04,205.61,216.44,201.16,8016.13,10000,70.78,190,190,16.08,190,80.16,1.08,MODERATE
2025-01-06 19:00:00+00:00,1083.68,239.48,245.82,207.59,8054.35,10000,70.65,193,191,15.05,193,80.54,1.18,MODERATE
2025-01-06 20:00:00+00:00,1061.72,234.28,245.6,198.86,8101.09,10000,70.08,195,193,14.85,195,81.01,1.24,MODERATE
2025-01-06 21:00:00+00:00,931.39,201.3,210.07,170.83,8140.32,10000,70.75,152,150,16.3,152,81.4,1.23,MODERATE
2025-01-06 22:00:00+00:00,716.04,154.37,168.88,158.5,8150.69,10000,71.48,121,120,14.68,121,81.51,1.07,MODERATE
2025-01-06 23:00:00+00:00,718.94,155.54,174.56,133.54,8191.71,10000,71.14,83,83,16.12,83,81.92,1.31,MODERATE
2025-01-07 00:00:00+00:00,553.14,133.15,127.78,121.81,8197.68,10000,70.98,62,61,21.57,62,81.98,1.05,MODERATE
2025-01-07 01:00:00+00:00,539.73,129.85,125.16,109.85,8212.99,10000,70.4,61,59,23.79,61,82.13,1.14,MODERATE
2025-01-07 02:00:00+00:00,514.75,124.5,119.49,118.79,8213.69,10000,70.51,64,63,26.77,64,82.14,1.01,MODERATE
2025-01-07 03:00:00+00:00,530.08,127.49,128.81,115.71,8226.78,10000,69.96,72,72,26.95,72,82.27,1.11,MODERATE
2025-01-07 04:00:00+00:00,634.58,148.71,150.99,126.21,8251.56,10000,70.11,83,81,27.16,83,82.52,1.2,MODERATE
2025-01-07 05:00:00+00:00,658.92,151.91,157.75,127.58,8281.73,10000,70.59,78,78,22.12,78,82.82,1.24,MODERATE
2025-01-07 06:00:00+00:00,677.94,148.9,154.5,147.5,8288.74,10000,70.84,108,105,20.08,108,82.89,1.05,MODERATE
2025-01-07 07:00:00+00:00,630.64,136.92,148.74,161.41,8276.06,10000,70.4,137,136,19.09,137,82.76,0.92,MODERATE
2025-01-07 08:00:00+00:00,551.62,118.92,134.0,175.61,8234.45,10000,69.94,162,160,16.53,162,82.34,0.76,MODERATE
2025-01-07 09:00:00+00:00,567.76,123.91,135.1,193.46,8176.08,10000,69.5,196,196,18.22,196,81.76,0.7,MODERATE
2025-01-07 10:00:00+00:00,623.12,136.93,145.17,201.22,8120.03,10000,68.96,209,207,18.43,209,81.2,0.72,MODERATE
2025-01-07 11:00:00+00:00,814.22,180.77,181.04,210.3,8090.77,10000,69.04,227,224,18.57,227,80.91,0.86,MODERATE
2025-01-07 12:00:00+00:00,847.62,186.63,188.1,205.18,8073.69,10000,68.54,214,212,19.37,214,80.74,0.92,MODERATE
2025-01-07 13:00:00+00:00,943.97,209.21,206.07,206.9,8072.86,10000,68.83,212,209,17.08,212,80.73,1.0,MODERATE
2025-01-07 14:00:00+00:00,890.82,199.05,198.42,183.05,8088.23,10000,68.69,181,179,16.9,181,80.88,1.08,MODERATE
2025-01-07 15:00:00+00:00,767.38,173.96,177.49,182.89,8082.84,10000,68.07,182,181,14.09,182,80.83,0.97,MODERATE
2025-01-07 16:00:00+00:00,682.86,157.77,168.3,194.19,8056.95,10000,68.37,198,197,14.83,198,80.57,0.87,MODERATE
2025-01-07 17:00:00+00:00,627.31,147.57,152.86,191.47,8018.33,10000,68.58,194,193,15.67,194,80.18,0.8,MODERATE
2025-01-07 18:00:00+00:00,809.02,192.14,190.35,193.44,8015.24,10000,69.2,194,193,15.34,194,80.15,0.98,MODERATE
2025-01-07 19:00:00+00:00,731.38,168.67,167.9,187.44,7995.7,10000,68.75,187,187,16.06,187,79.96,0.9,MODERATE
2025-01-07 20:00:00+00:00,794.22,179.09,187.54,172.54,8010.69,10000,68.96,165,165,15.65,165,80.11,1.09,MODERATE
2025-01-07 21:00:00+00:00,708.01,156.81,171.23,161.09,8020.83,10000,69.7,146,145,17.09,146,80.21,1.06,MODERATE
2025-01-07 22:00:00+00:00,773.1,168.31,194.13,154.43,8060.53,10000,69.72,124,122,17.75,124,80.61,1.26,MODERATE
2025-01-07 23:00:00+00:00,771.24,169.98,191.73,142.73,8109.53,10000,70.07,109,106,20.01,109,81.1,1.34,MODERATE
2025-01-08 00:00:00+00:00,629.3,150.44,162.59,108.76,8163.36,10000,70.52,59,57,20.02,59,81.63,1.49,MODERATE
2025-01-08 01:00:00+00:00,620.69,147.34,152.16,103.64,8211.87,10000,70.61,53,52,19.06,53,82.12,1.47,MODERATE
2025-01-08 02:00:00+00:00,582.16,137.72,141.55,121.97,8231.45,10000,69.73,62,61,20.25,62,82.31,1.16,MODERATE
2025-01-08 03:00:00+00:00,619.49,146.04,152.1,129.99,8253.56,10000,69.78,89,81,23.72,81,82.54,1.17,MODERATE
2025-01-08 04:00:00+00:00,604.79,140.56,154.36,131.4,8276.52,10000,69.82,77,84,23.97,85,82.77,1.17,MODERATE
2025-01-08 05:00:00+00:00,540.05,125.42,145.24,139.44,8282.32,10000,69.66,99,99,21.26,99,82.82,1.04,MODERATE
2025-01-08 06:00:00+00:00,487.77,114.0,128.48,150.07,8260.73,10000,69.41,109,109,19.81,109,82.61,0.86,MODERATE
2025-01-08 07:00:00+00:00,550.56,126.56,145.06,168.15,8237.63,10000,69.99,143,141,20.59,143,82.38,0.86,MODERATE
2025-01-08 08:00:00+00:00,710.27,162.9,166.9,184.75,8219.78,10000,70.02,162,160,19.38,162,82.2,0.9,MODERATE
2025-01-08 09:00:00+00:00,749.31,170.89,180.01,189.33,8210.47,10000,69.98,191,190,21.19,191,82.1,0.95,MODERATE
2025-01-08 10:00:00+00:00,778.99,176.09,186.74,217.58,8179.63,10000,70.33,224,223,21.0,224,81.8,0.86,MODERATE
2025-01-08 11:00:00+00:00,825.56,191.17,197.45,217.31,8159.77,10000,70.67,227,225,21.24,227,81.6,0.91,MODERATE
2025-01-08 12:00:00+00:00,973.75,220.7,228.41,211.9,8176.29,10000,71.14,220,217,21.2,220,81.76,1.08,MODERATE
2025-01-08 13:00:00+00:00,974.21,224.63,226.22,203.86,8198.65,10000,71.38,199,197,21.84,199,81.99,1.11,MODERATE
2025-01-08 14:00:00+00:00,939.23,214.46,231.65,195.53,8234.77,10000,71.1,192,192,20.82,192,82.35,1.18,MODERATE
2025-01-08 15:00:00+00:00,1033.31,229.63,257.76,205.8,8286.73,10000,70.64,204,203,24.2,204,82.87,1.25,MODERATE
2025-01-08 16:00:00+00:00,1020.35,225.53,243.61,195.24,8335.09,10000,70.38,183,183,22.6,183,83.35,1.25,MODERATE
2025-01-08 17:00:00+00:00,1114.2,241.86,268.55,201.45,8402.19,10000,70.73,194,192,21.21,194,84.02,1.33,MODERATE
2025-01-08 18:00:00+00:00,1048.96,227.03,255.31,198.77,8458.73,10000,71.17,189,186,23.22,189,84.59,1.28,MODERATE
2025-01-08 19:00:00+00:00,885.52,190.76,214.26,202.89,8470.1,10000,71.36,191,190,23.0,191,84.7,1.06,MODERATE
2025-01-08 20:00:00+00:00,748.57,160.4,179.13,181.76,8467.47,10000,71.45,156,153,23.39,156,84.67,0.99,MODERATE
2025-01-08 21:00:00+00:00,856.25,181.64,197.97,184.44,8480.99,10000,71.99,173,173,23.41,173,84.81,1.07,MODERATE
2025-01-08 22:00:00+00:00,949.48,197.19,208.02,168.2,8520.82,10000,71.93,129,127,23.48,129,85.21,1.24,ELEVATED
2025-01-08 23:00:00+00:00,863.08,181.45,191.02,159.74,8552.09,10000,71.71,120,118,28.92,120,85.52,1.2,MODERATE
2025-01-09 00:00:00+00:00,663.85,156.58,149.05,119.9,8581.25,10000,71.38,48,46,23.34,48,85.81,1.24,MODERATE
2025-01-09 01:00:00+00:00,731.32,176.11,166.11,128.86,8618.5,10000,71.29,83,64,33.24,66,86.18,1.29,ELEVATED
2025-01-09 02:00:00+00:00,635.56,156.61,149.88,134.79,8633.59,10000,71.3,62,78,30.67,79,86.34,1.11,ELEVATED
2025-01-09 03:00:00+00:00,573.67,143.96,139.99,127.69,8645.88,10000,71.85,56,53,27.24,56,86.46,1.1,MODERATE
2025-01-09 04:00:00+00:00,631.21,153.46,154.61,131.88,8668.6,10000,72.13,79,77,24.76,79,86.69,1.17,MODERATE
2025-01-09 05:00:00+00:00,620.39,145.07,151.39,151.25,8668.74,10000,72.24,94,92,26.12,94,86.69,1.0,MODERATE
2025-01-09 06:00:00+00:00,656.89,144.27,160.6,157.3,8672.05,10000,72.43,109,107,29.21,109,86.72,1.02,MODERATE
